pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
1404,"[35.01034599, 135.68153188]","[[35.010747, 135.681924], [35.010747, 135.680865], [35.010051, 135.681924], [35.010051, 135.680865]]",181,[],[]
1405,"[35.07901632, 135.7812965]","[[35.079136, 135.7815], [35.079136, 135.781138], [35.078897, 135.7815], [35.078897, 135.781138]]",45,[],[]
1406,"[35.07927848, 135.78159102]","[[35.079316, 135.781744], [35.079316, 135.781569], [35.079122, 135.781744], [35.079122, 135.781569]]",3,[],[]
1407,"[35.03939531, 135.79176168]","[[35.0395, 135.791777], [35.0395, 135.791666], [35.039333, 135.791777], [35.039333, 135.791666]]",14,[],[]
1408,"[35.03844863, 135.74378131]","[[35.038535, 135.743941], [35.038535, 135.743683], [35.038116, 135.743941], [35.038116, 135.743683]]",7,[],[]
1409,"[35.03837249, 135.74462412]","[[35.038544, 135.744675], [35.038544, 135.744369], [35.038227, 135.744675], [35.038227, 135.744369]]",6,[],[]
1410,"[35.05142346, 135.78908782]","[[35.051463, 135.789111], [35.051463, 135.788902], [35.051347, 135.789111], [35.051347, 135.788902]]",4,[],[]
1411,"[35.02103647, 135.75558433]","[[35.021197, 135.755652], [35.021197, 135.755524], [35.0208, 135.755652], [35.0208, 135.755524]]",6,[],[]
1412,"[35.03204042, 135.85268751]","[[35.032094, 135.852797], [35.032094, 135.852666], [35.032, 135.852797], [35.032, 135.852666]]",3,[],[]
1413,"[35.03218134, 135.85198449]","[[35.032713, 135.852463], [35.032713, 135.851648], [35.032116, 135.852463], [35.032116, 135.851648]]",10,[],[]
1414,"[35.07133426, 135.86233397]","[[35.071688, 135.862427], [35.071688, 135.862288], [35.071236, 135.862427], [35.071236, 135.862288]]",6,[],[]
1415,"[35.07212123, 135.86289587]","[[35.072205, 135.862977], [35.072205, 135.862747], [35.071872, 135.862977], [35.071872, 135.862747]]",5,[],[]
1416,"[35.06641764, 135.84385533]","[[35.066427, 135.843947], [35.066427, 135.843841], [35.066405, 135.843947], [35.066405, 135.843841]]",4,[],[]
1417,"[35.01238103, 135.76314858]","[[35.012383, 135.763161], [35.012383, 135.763138], [35.01238, 135.763161], [35.01238, 135.763138]]",3,[],[]
1418,"[35.00009352, 135.78759098]","[[35.000316, 135.788126], [35.000316, 135.78753], [34.99963, 135.788126], [34.99963, 135.78753]]",6,[],[]
1419,"[35.0143324, 135.78472248]","[[35.014352, 135.784808], [35.014352, 135.784683], [35.014244, 135.784808], [35.014244, 135.784683]]",7,[],[]
1420,"[35.00319097, 135.731444]","[[35.003208, 135.731444], [35.003208, 135.731444], [35.003186, 135.731444], [35.003186, 135.731444]]",4,[],[]
1421,"[34.96120632, 135.80798103]","[[34.961213, 135.808011], [34.961213, 135.807966], [34.961169, 135.808011], [34.961169, 135.807966]]",5,[],[]
1422,"[34.96112522, 135.80799282]","[[34.96113, 135.808025], [34.96113, 135.807977], [34.961122, 135.808025], [34.961122, 135.807977]]",4,[],[]
1423,"[34.96114443, 135.80791795]","[[34.961172, 135.807924], [34.961172, 135.807883], [34.96109, 135.807924], [34.96109, 135.807883]]",5,[],[]
1424,"[34.96117144, 135.80781206]","[[34.961208, 135.807847], [34.961208, 135.807766], [34.961147, 135.807847], [34.961147, 135.807766]]",15,[],[]
1425,"[34.96110777, 135.807441]","[[34.961113, 135.807441], [34.961113, 135.807441], [34.961102, 135.807441], [34.961102, 135.807441]]",5,[],[]
1426,"[34.96114294, 135.80751069]","[[34.961166, 135.807525], [34.961166, 135.8075], [34.96113, 135.807525], [34.96113, 135.8075]]",6,[],[]
1427,"[34.96109001, 135.80755298]","[[34.961091, 135.807555], [34.961091, 135.807552], [34.961088, 135.807555], [34.961088, 135.807552]]",4,[],[]
