pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
306,"[35.00094287, 135.77654913]","[[35.001422, 135.776664], [35.001422, 135.775973], [35.000612, 135.776664], [35.000612, 135.775973]]",10,[],[]
307,"[35.00191762, 135.77860387]","[[35.002166, 135.778827], [35.002166, 135.777833], [35.001403, 135.778827], [35.001403, 135.777833]]",145,[],[]
308,"[35.00234454, 135.77634897]","[[35.003044, 135.77687], [35.003044, 135.776], [35.001947, 135.77687], [35.001947, 135.776]]",144,[],[]
309,"[35.00093357, 135.77741858]","[[35.00158, 135.778016], [35.00158, 135.777169], [35.000646, 135.778016], [35.000646, 135.777169]]",11,[],[]
310,"[35.00194741, 135.77700496]","[[35.002333, 135.777166], [35.002333, 135.776939], [35.00179, 135.777166], [35.00179, 135.776939]]",59,[],[]
311,"[35.00059748, 135.77873845]","[[35.001088, 135.778833], [35.001088, 135.778207], [35.000398, 135.778833], [35.000398, 135.778207]]",114,[],[]
312,"[35.00097077, 135.77860601]","[[35.001333, 135.778355], [35.001333, 135.778116], [35.000858, 135.778355], [35.000858, 135.778116]]",7,[],[]
313,"[35.00212571, 135.77977589]","[[35.002792, 135.780677], [35.002792, 135.779388], [35.001416, 135.780677], [35.001416, 135.779388]]",167,[],[]
314,"[35.00149601, 135.77998009]","[[35.001408, 135.78037], [35.001408, 135.779602], [35.00123, 135.78037], [35.00123, 135.779602]]",4,[],[]
315,"[35.00000912, 135.78144278]","[[35.000366, 135.782027], [35.000366, 135.780883], [34.999502, 135.782027], [34.999502, 135.780883]]",86,"['Ryozen Kannon, 霊山観音']",[66]
316,"[35.00060892, 135.78091511]","[[35.001155, 135.78093], [35.001155, 135.7805], [35.0, 135.78093], [35.0, 135.7805]]",69,"['Kōdaiji Temple, 高台寺']",[65]
317,"[35.00076616, 135.78159666]","[[35.001411, 135.782432], [35.001411, 135.780673], [35.000191, 135.782432], [35.000191, 135.780673]]",449,"['Kōdaiji Temple, 高台寺']",[65]
318,"[35.00060065, 135.78264833]","[[35.000794, 135.783166], [35.000794, 135.782422], [35.000322, 135.783166], [35.000322, 135.782422]]",19,"['Kōdaiji Temple, 高台寺']",[65]
319,"[34.99811806, 135.78084301]","[[34.998713, 135.781173], [34.998713, 135.780302], [34.997519, 135.781173], [34.997519, 135.780302]]",162,"['Nineizaka, 二年坂']",[69]
320,"[34.99878915, 135.78077238]","[[34.999838, 135.781402], [34.999838, 135.780166], [34.998609, 135.781402], [34.998609, 135.780166]]",97,"['Nineizaka, 二年坂']",[69]
321,"[34.99516979, 135.77794524]","[[34.995499, 135.7785], [34.995499, 135.777557], [34.994926, 135.7785], [34.994926, 135.777557]]",22,[],[]
322,"[34.99625302, 135.7808341]","[[34.996919, 135.781745], [34.996919, 135.779705], [34.995519, 135.781745], [34.995519, 135.779705]]",468,"['Sanneizaka, 三年坂']",[70]
323,"[34.99677643, 135.78113143]","[[34.997672, 135.781745], [34.997672, 135.7805], [34.996333, 135.781745], [34.996333, 135.7805]]",107,"['Sanneizaka, 三年坂']",[70]
324,"[34.99515697, 135.77947373]","[[34.995233, 135.779685], [34.995233, 135.779044], [34.995023, 135.779685], [34.995023, 135.779044]]",9,[],[]
325,"[34.99612374, 135.77967134]","[[34.996141, 135.779663], [34.996141, 135.779166], [34.995603, 135.779663], [34.995603, 135.779166]]",5,[],[]
326,"[34.99529374, 135.77885003]","[[34.9957, 135.779], [34.9957, 135.778656], [34.994777, 135.779], [34.994777, 135.778656]]",6,[],[]
327,"[34.99569959, 135.78189134]","[[34.996041, 135.782068], [34.996041, 135.781555], [34.995128, 135.782068], [34.995128, 135.781555]]",27,"['Sanneizaka, 三年坂']",[70]
328,"[34.99410729, 135.78063717]","[[34.994591, 135.781574], [34.994591, 135.779771], [34.993775, 135.781574], [34.993775, 135.779771]]",51,[],[]
329,"[34.99515972, 135.78034458]","[[34.995547, 135.780913], [34.995547, 135.779709], [34.994666, 135.780913], [34.994666, 135.779709]]",126,[],[]
330,"[34.99506523, 135.78156255]","[[34.995166, 135.781745], [34.995166, 135.781025], [34.994495, 135.781745], [34.994495, 135.781025]]",15,[],[]
331,"[34.99448799, 135.78189044]","[[34.994495, 135.782008], [34.994495, 135.781745], [34.993863, 135.782008], [34.993863, 135.781745]]",13,[],[]
332,"[34.99716969, 135.77890597]","[[34.997417, 135.779694], [34.997417, 135.778076], [34.99691, 135.779694], [34.99691, 135.778076]]",39,[],[]
333,"[34.99827835, 135.77983725]","[[34.9985, 135.780222], [34.9985, 135.779428], [34.9978, 135.780222], [34.9978, 135.779428]]",50,[],[]
334,"[34.99860722, 135.77823304]","[[34.999013, 135.778162], [34.999013, 135.777666], [34.998591, 135.778162], [34.998591, 135.777666]]",9,[],[]
335,"[34.99852626, 135.77886375]","[[34.999, 135.779333], [34.999, 135.778155], [34.997847, 135.779333], [34.997847, 135.778155]]",534,[],[]
336,"[34.9986625, 135.77742539]","[[34.998691, 135.777527], [34.998691, 135.777216], [34.998081, 135.777527], [34.998081, 135.777216]]",12,[],[]
337,"[34.9980497, 135.77721006]","[[34.99802, 135.777583], [34.99802, 135.776666], [34.997463, 135.777583], [34.997463, 135.776666]]",19,[],[]
338,"[34.99738582, 135.77754402]","[[34.997469, 135.777911], [34.997469, 135.777018], [34.996816, 135.777911], [34.996816, 135.777018]]",18,[],[]
339,"[34.96707678, 135.77160307]","[[34.967087, 135.771602], [34.967087, 135.771585], [34.967069, 135.771602], [34.967069, 135.771585]]",4,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
340,"[34.96782692, 135.77157119]","[[34.968109, 135.771833], [34.968109, 135.771463], [34.967579, 135.771833], [34.967579, 135.771463]]",38,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
341,"[34.96792327, 135.77102663]","[[34.968342, 135.771258], [34.968342, 135.770523], [34.967613, 135.771258], [34.967613, 135.770523]]",48,[],[]
342,"[34.96838755, 135.76970449]","[[34.968667, 135.769833], [34.968667, 135.769516], [34.968182, 135.769833], [34.968182, 135.769516]]",4,[],[]
343,"[34.96797196, 135.77003813]","[[34.968052, 135.770223], [34.968052, 135.769675], [34.967632, 135.770223], [34.967632, 135.769675]]",23,[],[]
344,"[34.96869904, 135.76926841]","[[34.9692, 135.769669], [34.9692, 135.769036], [34.968288, 135.769669], [34.968288, 135.769036]]",91,[],[]
345,"[34.96726261, 135.77027661]","[[34.967405, 135.770247], [34.967405, 135.770168], [34.966999, 135.770247], [34.966999, 135.770168]]",3,[],[]
346,"[34.96701558, 135.77101539]","[[34.967233, 135.771383], [34.967233, 135.770566], [34.966752, 135.771383], [34.966752, 135.770566]]",76,[],[]
347,"[34.96698834, 135.77065125]","[[34.967252, 135.770569], [34.967252, 135.770316], [34.966852, 135.770569], [34.966852, 135.770316]]",5,[],[]
348,"[34.96916992, 135.77864021]","[[34.969547, 135.7787], [34.969547, 135.778461], [34.968822, 135.7787], [34.968822, 135.778461]]",11,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
349,"[34.97010764, 135.7787567]","[[34.970322, 135.779119], [34.970322, 135.778463], [34.96973, 135.779119], [34.96973, 135.778463]]",26,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
350,"[34.97008504, 135.77908437]","[[34.97, 135.77935], [34.97, 135.779113], [34.969933, 135.77935], [34.969933, 135.779113]]",3,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
351,"[34.96951948, 135.78054056]","[[34.969833, 135.780616], [34.969833, 135.7805], [34.969497, 135.780616], [34.969497, 135.7805]]",4,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
352,"[34.96967955, 135.78000488]","[[34.969894, 135.780166], [34.969894, 135.7795], [34.969333, 135.780166], [34.969333, 135.7795]]",19,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
353,"[34.96702741, 135.77467371]","[[34.967547, 135.775166], [34.967547, 135.774236], [34.966477, 135.775166], [34.966477, 135.774236]]",410,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
354,"[34.96782861, 135.77561471]","[[34.968309, 135.775887], [34.968309, 135.775222], [34.967468, 135.775887], [34.967468, 135.775222]]",136,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
355,"[34.96734428, 135.77583908]","[[34.967363, 135.776], [34.967363, 135.775823], [34.967025, 135.776], [34.967025, 135.775823]]",16,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
356,"[34.96738016, 135.77547134]","[[34.967582, 135.775844], [34.967582, 135.775091], [34.967213, 135.775844], [34.967213, 135.775091]]",22,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
357,"[34.9665329, 135.77550794]","[[34.967166, 135.775845], [34.967166, 135.775066], [34.966311, 135.775845], [34.966311, 135.775066]]",176,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
358,"[34.96749253, 135.77866606]","[[34.967519, 135.778741], [34.967519, 135.778638], [34.967139, 135.778741], [34.967139, 135.778638]]",3,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
359,"[34.96703445, 135.77711311]","[[34.96728, 135.77739], [34.96728, 135.777111], [34.966998, 135.77739], [34.966998, 135.777111]]",73,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
360,"[34.96737233, 135.7765818]","[[34.967562, 135.776982], [34.967562, 135.776388], [34.967108, 135.776982], [34.967108, 135.776388]]",33,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
361,"[34.9680618, 135.77694404]","[[34.968335, 135.7773], [34.968335, 135.776616], [34.967927, 135.7773], [34.967927, 135.776616]]",23,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
362,"[34.96797577, 135.77638207]","[[34.968264, 135.776596], [34.968264, 135.776081], [34.967667, 135.776596], [34.967667, 135.776081]]",30,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
363,"[34.96831485, 135.77853475]","[[34.968733, 135.778933], [34.968733, 135.778146], [34.967827, 135.778933], [34.967827, 135.778146]]",98,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
364,"[34.96822652, 135.77813751]","[[34.968686, 135.778233], [34.968686, 135.777805], [34.967988, 135.778233], [34.967988, 135.777805]]",35,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
365,"[34.96807751, 135.77779865]","[[34.968264, 135.777816], [34.968264, 135.7775], [34.967678, 135.777816], [34.967678, 135.7775]]",12,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
366,"[34.96813045, 135.77737077]","[[34.9682, 135.7774], [34.9682, 135.777336], [34.968009, 135.7774], [34.968009, 135.777336]]",5,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
367,"[34.96716364, 135.77250211]","[[34.967833, 135.772888], [34.967833, 135.771738], [34.966836, 135.772888], [34.966836, 135.771738]]",534,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
368,"[34.96722056, 135.77323633]","[[34.967772, 135.773677], [34.967772, 135.772916], [34.966576, 135.773677], [34.966576, 135.772916]]",391,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
369,"[34.96720504, 135.77396145]","[[34.967807, 135.774502], [34.967807, 135.773591], [34.966717, 135.774502], [34.966717, 135.773591]]",255,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
370,"[34.96816858, 135.77388347]","[[34.96818, 135.773902], [34.96818, 135.773522], [34.967983, 135.773902], [34.967983, 135.773522]]",20,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
371,"[34.9680372, 135.77312469]","[[34.968194, 135.773162], [34.968194, 135.773087], [34.967983, 135.773162], [34.967983, 135.773087]]",4,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
372,"[34.96797752, 135.7726551]","[[34.968277, 135.772844], [34.968277, 135.772241], [34.967869, 135.772844], [34.967869, 135.772241]]",28,"['Fushimi Inari Taisha, 伏見稲荷大社']",[76]
373,"[34.989175, 135.76095385]","[[34.989503, 135.76118], [34.989503, 135.760583], [34.98858, 135.76118], [34.98858, 135.760583]]",10,[],[]
374,"[34.98368517, 135.76053367]","[[34.983877, 135.761027], [34.983877, 135.760416], [34.983315, 135.761027], [34.983315, 135.760416]]",9,[],[]
375,"[34.98589339, 135.75780979]","[[34.986917, 135.758333], [34.986917, 135.756463], [34.98509, 135.758333], [34.98509, 135.756463]]",882,[],[]
376,"[34.98601223, 135.75832678]","[[34.986625, 135.758516], [34.986625, 135.75798], [34.985495, 135.758516], [34.985495, 135.75798]]",372,[],[]
377,"[34.98610393, 135.75880057]","[[34.986409, 135.759461], [34.986409, 135.7583], [34.985495, 135.759461], [34.985495, 135.7583]]",232,[],[]
378,"[34.98641893, 135.75908817]","[[34.987745, 135.76013], [34.987745, 135.758166], [34.985666, 135.76013], [34.985666, 135.758166]]",524,[],[]
379,"[34.98669903, 135.75806258]","[[34.98669, 135.758094], [34.98669, 135.757888], [34.986635, 135.758094], [34.986635, 135.757888]]",4,[],[]
380,"[34.98724217, 135.75814359]","[[34.987815, 135.758571], [34.987815, 135.757663], [34.986725, 135.758571], [34.986725, 135.757663]]",114,[],[]
381,"[34.98704135, 135.75742301]","[[34.987602, 135.757434], [34.987602, 135.756914], [34.98702, 135.757434], [34.98702, 135.756914]]",30,[],[]
382,"[34.98832479, 135.7564293]","[[34.9884, 135.757026], [34.9884, 135.756344], [34.988, 135.757026], [34.988, 135.756344]]",13,[],[]
383,"[34.98313268, 135.75893627]","[[34.983333, 135.759166], [34.983333, 135.7585], [34.983, 135.759166], [34.983, 135.7585]]",6,[],[]
384,"[34.98297206, 135.75840297]","[[34.983315, 135.758399], [34.983315, 135.758255], [34.982752, 135.758399], [34.982752, 135.758255]]",4,[],[]
385,"[34.98701793, 135.76044637]","[[34.98765, 135.761166], [34.98765, 135.759933], [34.986622, 135.761166], [34.986622, 135.759933]]",47,[],[]
386,"[34.98600813, 135.76154636]","[[34.986483, 135.761833], [34.986483, 135.761372], [34.985565, 135.761833], [34.985565, 135.761372]]",10,[],[]
387,"[34.98676586, 135.7625642]","[[34.987333, 135.763206], [34.987333, 135.762333], [34.986333, 135.763206], [34.986333, 135.762333]]",28,[],[]
388,"[34.98556984, 135.76195491]","[[34.985977, 135.762086], [34.985977, 135.762004], [34.985495, 135.762086], [34.985495, 135.762004]]",3,[],[]
389,"[34.98654954, 135.76140102]","[[34.98669, 135.761489], [34.98669, 135.760994], [34.9865, 135.761489], [34.9865, 135.760994]]",10,[],[]
390,"[34.98406333, 135.75909088]","[[34.984455, 135.759666], [34.984455, 135.758805], [34.983833, 135.759666], [34.983833, 135.758805]]",27,[],[]
391,"[34.98462558, 135.76106131]","[[34.985088, 135.761489], [34.985088, 135.76088], [34.9845, 135.761489], [34.9845, 135.76088]]",20,[],[]
392,"[34.98594315, 135.75623281]","[[34.986423, 135.756425], [34.986423, 135.756127], [34.985425, 135.756425], [34.985425, 135.756127]]",128,[],[]
393,"[34.98506366, 135.75626703]","[[34.985383, 135.756463], [34.985383, 135.755869], [34.984969, 135.756463], [34.984969, 135.755869]]",16,[],[]
394,"[34.98462694, 135.75666241]","[[34.984989, 135.756683], [34.984989, 135.75635], [34.984166, 135.756683], [34.984166, 135.75635]]",43,[],[]
395,"[34.9839665, 135.75617953]","[[34.984136, 135.755895], [34.984136, 135.755753], [34.983652, 135.755895], [34.983652, 135.755753]]",3,[],[]
396,"[34.98419621, 135.75638979]","[[34.984166, 135.756622], [34.984166, 135.756028], [34.98373, 135.756622], [34.98373, 135.756028]]",14,[],[]
397,"[34.98457873, 135.75415854]","[[34.984666, 135.754623], [34.984666, 135.75373], [34.984266, 135.754623], [34.984266, 135.75373]]",11,[],[]
398,"[34.98398282, 135.75514625]","[[34.984347, 135.755508], [34.984347, 135.754777], [34.983805, 135.755508], [34.983805, 135.754777]]",13,[],[]
399,"[34.98586099, 135.76010281]","[[34.986211, 135.760679], [34.986211, 135.759833], [34.985436, 135.760679], [34.985436, 135.759833]]",31,[],[]
400,"[34.985973, 135.76063683]","[[34.986, 135.760833], [34.986, 135.760666], [34.9855, 135.760833], [34.9855, 135.760666]]",3,[],[]
401,"[34.98463727, 135.75834979]","[[34.984721, 135.758463], [34.984721, 135.757877], [34.983758, 135.758463], [34.983758, 135.757877]]",30,[],[]
402,"[34.98471133, 135.7587429]","[[34.984806, 135.759166], [34.984806, 135.758324], [34.98424, 135.759166], [34.98424, 135.758324]]",77,[],[]
403,"[34.98480597, 135.75726368]","[[34.985166, 135.757713], [34.985166, 135.756855], [34.984333, 135.757713], [34.984333, 135.756855]]",35,[],[]
404,"[34.98472017, 135.75768047]","[[34.984325, 135.757897], [34.984325, 135.757477], [34.984166, 135.757897], [34.984166, 135.757477]]",8,[],[]
405,"[34.98521383, 135.75838371]","[[34.985566, 135.758893], [34.985566, 135.757884], [34.984677, 135.758893], [34.984677, 135.757884]]",155,[],[]
406,"[34.98535062, 135.75892599]","[[34.985486, 135.759429], [34.985486, 135.758833], [34.984825, 135.759429], [34.984825, 135.758833]]",71,[],[]
407,"[34.98534876, 135.75947442]","[[34.985422, 135.759944], [34.985422, 135.759505], [34.985152, 135.759944], [34.985152, 135.759505]]",9,[],[]
408,"[34.98451711, 135.76016293]","[[34.985214, 135.760631], [34.985214, 135.760097], [34.984122, 135.760631], [34.984122, 135.760097]]",12,[],[]
409,"[34.98465978, 135.75976129]","[[34.985158, 135.760252], [34.985158, 135.759301], [34.984159, 135.760252], [34.984159, 135.759301]]",58,[],[]
410,"[34.98749173, 135.75936694]","[[34.988158, 135.760166], [34.988158, 135.758696], [34.986984, 135.760166], [34.986984, 135.758696]]",300,"['Kyoto Tower, 京都タワー']",[81]
411,"[34.98807447, 135.7593069]","[[34.988502, 135.75975], [34.988502, 135.75888], [34.988056, 135.75975], [34.988056, 135.75888]]",38,[],[]
412,"[34.98902618, 135.75984449]","[[34.9895, 135.760122], [34.9895, 135.759338], [34.988555, 135.760122], [34.988555, 135.759338]]",34,[],[]
413,"[34.98963197, 135.75957093]","[[34.98975, 135.759616], [34.98975, 135.7595], [34.989555, 135.759616], [34.989555, 135.7595]]",6,"['Higashi Honganji, 東本願寺']",[79]
414,"[34.98921397, 135.75753501]","[[34.989521, 135.758065], [34.989521, 135.757447], [34.989166, 135.758065], [34.989166, 135.757447]]",9,[],[]
415,"[34.98920275, 135.7587236]","[[34.989644, 135.75914], [34.989644, 135.758252], [34.988811, 135.75914], [34.988811, 135.758252]]",18,[],[]
416,"[34.99099533, 135.76040267]","[[34.991472, 135.760995], [34.991472, 135.760288], [34.990495, 135.760995], [34.990495, 135.760288]]",5,[],[]
417,"[34.9903141, 135.75960996]","[[34.99039, 135.760264], [34.99039, 135.759411], [34.989947, 135.760264], [34.989947, 135.759411]]",15,[],[]
418,"[34.99163118, 135.758542]","[[34.991894, 135.7585], [34.991894, 135.758056], [34.991472, 135.7585], [34.991472, 135.758056]]",15,"['Higashi Honganji, 東本願寺']",[79]
419,"[34.99137203, 135.75794505]","[[34.991859, 135.758013], [34.991859, 135.757799], [34.991085, 135.758013], [34.991085, 135.757799]]",53,"['Higashi Honganji, 東本願寺']",[79]
420,"[34.99069076, 135.75913739]","[[34.991333, 135.759666], [34.991333, 135.758475], [34.989894, 135.759666], [34.989894, 135.758475]]",129,"['Higashi Honganji, 東本願寺']",[79]
421,"[34.99103466, 135.75958014]","[[34.991539, 135.760452], [34.991539, 135.759241], [34.990647, 135.760452], [34.990647, 135.759241]]",72,"['Higashi Honganji, 東本願寺']",[79]
422,"[34.99347176, 135.76049826]","[[34.993652, 135.761108], [34.993652, 135.760333], [34.993, 135.761108], [34.993, 135.760333]]",9,[],[]
423,"[34.99213475, 135.76040476]","[[34.992333, 135.760833], [34.992333, 135.760391], [34.991894, 135.760833], [34.991894, 135.760391]]",23,[],[]
424,"[34.99329936, 135.7597272]","[[34.993394, 135.76008], [34.993394, 135.759333], [34.992833, 135.76008], [34.992833, 135.759333]]",27,[],[]
425,"[34.99142649, 135.75913896]","[[34.992, 135.759491], [34.992, 135.758511], [34.991333, 135.759491], [34.991333, 135.758511]]",29,"['Higashi Honganji, 東本願寺']",[79]
426,"[34.99257575, 135.76000328]","[[34.992833, 135.7605], [34.992833, 135.759833], [34.992166, 135.7605], [34.992166, 135.759833]]",9,[],[]
427,"[34.99211732, 135.7596557]","[[34.9925, 135.760166], [34.9925, 135.759301], [34.991702, 135.760166], [34.991702, 135.759301]]",20,[],[]
428,"[35.01078079, 135.75848734]","[[35.011158, 135.758258], [35.011158, 135.757477], [35.01078, 135.758258], [35.01078, 135.757477]]",18,[],[]
429,"[35.01167724, 135.75941234]","[[35.012283, 135.760202], [35.012283, 135.758743], [35.010619, 135.760202], [35.010619, 135.758743]]",248,[],[]
430,"[35.01080281, 135.75966588]","[[35.010864, 135.758829], [35.010864, 135.758422], [35.010596, 135.758829], [35.010596, 135.758422]]",6,[],[]
431,"[35.00858611, 135.75905698]","[[35.008416, 135.759], [35.008416, 135.758911], [35.007666, 135.759], [35.007666, 135.758911]]",33,[],[]
432,"[35.00932765, 135.75990578]","[[35.010483, 135.761203], [35.010483, 135.758767], [35.008311, 135.761203], [35.008311, 135.758767]]",262,"['Kawaramachi Street, 河原町']",[88]
433,"[35.0075552, 135.76040122]","[[35.008513, 135.761489], [35.008513, 135.759429], [35.00694, 135.761489], [35.00694, 135.759429]]",101,"['Kawaramachi Street, 河原町']",[88]
434,"[35.00863335, 135.7623769]","[[35.009541, 135.762691], [35.009541, 135.761149], [35.008346, 135.762691], [35.008346, 135.761149]]",98,"['Kawaramachi Street, 河原町']",[88]
435,"[35.02675325, 135.79832094]","[[35.027606, 135.799512], [35.027606, 135.797413], [35.026095, 135.799512], [35.026095, 135.797413]]",966,"['Higashiyama Jisho-ji, 銀閣寺']",[52]
436,"[35.02768361, 135.79261848]","[[35.028, 135.793247], [35.028, 135.792088], [35.026974, 135.793247], [35.026974, 135.792088]]",84,[],[]
437,"[35.0279906, 135.79160207]","[[35.028166, 135.792038], [35.028166, 135.791401], [35.0275, 135.792038], [35.0275, 135.791401]]",28,[],[]
438,"[35.02398028, 135.79640904]","[[35.024702, 135.79694], [35.024702, 135.795861], [35.02331, 135.79694], [35.02331, 135.795861]]",70,"[""Philosopher's Path, 哲学の道""]",[54]
439,"[35.02662204, 135.79548363]","[[35.026833, 135.796036], [35.026833, 135.795402], [35.026096, 135.796036], [35.026096, 135.795402]]",26,"['Higashiyama Jisho-ji, 銀閣寺', ""Philosopher's Path, 哲学の道""]","[52, 54]"
440,"[35.02508166, 135.79625944]","[[35.025638, 135.796594], [35.025638, 135.796166], [35.024802, 135.796594], [35.024802, 135.796166]]",132,"[""Philosopher's Path, 哲学の道""]",[54]
441,"[35.02552259, 135.79589614]","[[35.025666, 135.796333], [35.025666, 135.795919], [35.025001, 135.796333], [35.025001, 135.795919]]",19,"[""Philosopher's Path, 哲学の道""]",[54]
442,"[35.02595478, 135.79562546]","[[35.026271, 135.795993], [35.026271, 135.794944], [35.025438, 135.795993], [35.025438, 135.794944]]",70,"[""Philosopher's Path, 哲学の道""]",[54]
443,"[35.02722979, 135.79500991]","[[35.027772, 135.795867], [35.027772, 135.794447], [35.026577, 135.795867], [35.026577, 135.794447]]",206,"[""Philosopher's Path, 哲学の道""]",[54]
444,"[35.02744027, 135.79435215]","[[35.027666, 135.794455], [35.027666, 135.793807], [35.027312, 135.794455], [35.027312, 135.793807]]",45,[],[]
445,"[35.02753964, 135.79366955]","[[35.027663, 135.793794], [35.027663, 135.79338], [35.02731, 135.793794], [35.02731, 135.79338]]",14,[],[]
446,"[35.02722355, 135.79622161]","[[35.027282, 135.796347], [35.027282, 135.796079], [35.027044, 135.796347], [35.027044, 135.796079]]",21,"['Higashiyama Jisho-ji, 銀閣寺', ""Philosopher's Path, 哲学の道""]","[52, 54]"
447,"[35.02717787, 135.79734013]","[[35.027606, 135.797586], [35.027606, 135.796524], [35.026666, 135.797586], [35.026666, 135.796524]]",121,"['Higashiyama Jisho-ji, 銀閣寺']",[52]
448,"[35.01833794, 135.79496939]","[[35.018797, 135.795333], [35.018797, 135.794599], [35.018029, 135.795333], [35.018029, 135.794599]]",48,"[""Philosopher's Path, 哲学の道""]",[54]
449,"[35.01830332, 135.79607013]","[[35.018749, 135.796224], [35.018749, 135.795654], [35.018166, 135.796224], [35.018166, 135.795654]]",17,"[""Philosopher's Path, 哲学の道""]",[54]
450,"[35.02424434, 135.79728474]","[[35.024833, 135.797538], [35.024833, 135.797], [35.024109, 135.797538], [35.024109, 135.797]]",26,"['Hōnen-in, 法然院']",[55]
451,"[35.023498, 135.79731023]","[[35.024038, 135.797643], [35.024038, 135.796583], [35.022546, 135.797643], [35.022546, 135.796583]]",95,"['Hōnen-in, 法然院']",[55]
452,"[35.02077185, 135.79395608]","[[35.020841, 135.794113], [35.020841, 135.793676], [35.020366, 135.794113], [35.020366, 135.793676]]",11,"[""Philosopher's Path, 哲学の道""]",[54]
453,"[35.01899412, 135.79433344]","[[35.019052, 135.794666], [35.019052, 135.794202], [35.01875, 135.794666], [35.01875, 135.794202]]",18,"[""Philosopher's Path, 哲学の道""]",[54]
454,"[35.02013852, 135.79391347]","[[35.020178, 135.793958], [35.020178, 135.793697], [35.020133, 135.793958], [35.020133, 135.793697]]",4,"[""Philosopher's Path, 哲学の道""]",[54]
455,"[35.01953724, 135.79403911]","[[35.019999, 135.794322], [35.019999, 135.793762], [35.019069, 135.794322], [35.019069, 135.793762]]",31,"[""Philosopher's Path, 哲学の道""]",[54]
456,"[35.02270588, 135.79520872]","[[35.022999, 135.795666], [35.022999, 135.794769], [35.022333, 135.795666], [35.022333, 135.794769]]",40,"[""Philosopher's Path, 哲学の道""]",[54]
457,"[35.02289302, 135.79556829]","[[35.023328, 135.796], [35.023328, 135.795521], [35.022756, 135.796], [35.022756, 135.795521]]",25,"[""Philosopher's Path, 哲学の道""]",[54]
458,"[35.02138621, 135.79417667]","[[35.021924, 135.794586], [35.021924, 135.793826], [35.020833, 135.794586], [35.020833, 135.793826]]",32,"[""Philosopher's Path, 哲学の道""]",[54]
459,"[35.02175976, 135.79452496]","[[35.022222, 135.794752], [35.022222, 135.794373], [35.021686, 135.794752], [35.021686, 135.794373]]",37,"[""Philosopher's Path, 哲学の道""]",[54]
460,"[35.0285184, 135.71306806]","[[35.028544, 135.71308], [35.028544, 135.713058], [35.028471, 135.71308], [35.028471, 135.713058]]",3,"['Ninna-ji, 仁和寺']",[26]
461,"[35.03011413, 135.71385644]","[[35.0305, 135.714], [35.0305, 135.713666], [35.029908, 135.714], [35.029908, 135.713666]]",31,"['Ninna-ji, 仁和寺']",[26]
462,"[35.03108522, 135.7135234]","[[35.031166, 135.713544], [35.031166, 135.713333], [35.031088, 135.713544], [35.031088, 135.713333]]",4,"['Ninna-ji, 仁和寺']",[26]
463,"[35.03129158, 135.71320272]","[[35.031333, 135.713252], [35.031333, 135.713], [35.031166, 135.713252], [35.031166, 135.713]]",4,"['Ninna-ji, 仁和寺']",[26]
464,"[35.03095283, 135.71299298]","[[35.031111, 135.713166], [35.031111, 135.712833], [35.030747, 135.713166], [35.030747, 135.712833]]",9,"['Ninna-ji, 仁和寺']",[26]
465,"[35.0308408, 135.71340758]","[[35.031022, 135.713499], [35.031022, 135.713316], [35.030666, 135.713499], [35.030666, 135.713316]]",8,"['Ninna-ji, 仁和寺']",[26]
466,"[35.03072655, 135.71386046]","[[35.030886, 135.713925], [35.030886, 135.713666], [35.030616, 135.713925], [35.030616, 135.713666]]",11,"['Ninna-ji, 仁和寺']",[26]
467,"[35.03111994, 135.71411126]","[[35.031133, 135.714291], [35.031133, 135.714111], [35.030923, 135.714291], [35.030923, 135.714111]]",3,"['Ninna-ji, 仁和寺']",[26]
